iter,cost
885,25.831852
886,25.831846
887,25.831840
888,25.831833
889,25.831827
890,25.831821
891,25.831815
892,25.831808
893,25.831802
894,25.831796
895,25.831790
896,25.831783
897,25.831777
898,25.831771
899,25.831765
900,25.831759
901,25.831752
902,25.831746
903,25.831740
904,25.831734
905,25.831728
906,25.831722
907,25.831716
908,25.831710
909,25.831704
910,25.831697
911,25.831691
912,25.831685
913,25.831679
914,25.831673
915,25.831667
916,25.831661
917,25.831655
918,25.831649
919,25.831643
920,25.831638
921,25.831632
922,25.831626
923,25.831620
924,25.831614
925,25.831608
926,25.831602
927,25.831596
928,25.831590
929,25.831584
930,25.831579
931,25.831573
932,25.831567
933,25.831561
934,25.831555
935,25.831550
936,25.831544
937,25.831538
938,25.831532
939,25.831526
940,25.831521
941,25.831515
942,25.831509
943,25.831503
944,25.831498
945,25.831492
946,25.831486
947,25.831481
948,25.831475
949,25.831469
950,25.831464
951,25.831458
952,25.831452
953,25.831447
954,25.831441
955,25.831436
956,25.831430
957,25.831424
958,25.831419
959,25.831413
960,25.831408
961,25.831402
962,25.831396
963,25.831391
964,25.831385
965,25.831380
966,25.831374
967,25.831369
968,25.831363
969,25.831358
970,25.831352
971,25.831347
972,25.831341
973,25.831336
974,25.831330
975,25.831325
976,25.831319
977,25.831314
978,25.831309
979,25.831303
980,25.831298
981,25.831292
982,25.831287
983,25.831282
984,25.831276
985,25.831271
986,25.831265
987,25.831260
988,25.831255
989,25.831249
990,25.831244
991,25.831239
992,25.831233
993,25.831228
994,25.831223
995,25.831217
996,25.831212
997,25.831207
998,25.831201
999,25.831196
1000,25.831191
1001,25.831186
1002,25.831180
1003,25.831175
1004,25.831170
1005,25.831165
1006,25.831159
1007,25.831154
1008,25.831149
1009,25.831144
1010,25.831138
1011,25.831133
1012,25.831128
1013,25.831123
1014,25.831118
1015,25.831112
1016,25.831107
1017,25.831102
1018,25.831097
1019,25.831092
1020,25.831087
1021,25.831081
1022,25.831076
1023,25.831071
1024,25.831066
1025,25.831061
1026,25.831056
1027,25.831051
1028,25.831045
1029,25.831040
1030,25.831035
1031,25.831030
1032,25.831025
1033,25.831020
1034,25.831015
1035,25.831010
1036,25.831005
1037,25.831000
1038,25.830995
1039,25.830990
1040,25.830985
1041,25.830980
1042,25.830974
1043,25.830969
1044,25.830964
1045,25.830959
1046,25.830954
1047,25.830949
1048,25.830944
1049,25.830939
1050,25.830934
1051,25.830929
1052,25.830924
1053,25.830919
1054,25.830914
1055,25.830909
1056,25.830904
1057,25.830900
1058,25.830895
1059,25.830890
1060,25.830885
1061,25.830880
1062,25.830875
1063,25.830870
1064,25.830865
1065,25.830860
1066,25.830855
1067,25.830850
1068,25.830845
1069,25.830840
1070,25.830835
1071,25.830831
1072,25.830826
1073,25.830821
1074,25.830816
1075,25.830811
1076,25.830806
1077,25.830801
1078,25.830796
1079,25.830792
1080,25.830787
1081,25.830782
1082,25.830777
1083,25.830772
1084,25.830767
1085,25.830763
1086,25.830758
1087,25.830753
1088,25.830748
1089,25.830743
1090,25.830738
1091,25.830734
1092,25.830729
1093,25.830724
1094,25.830719
1095,25.830714
1096,25.830710
1097,25.830705
1098,25.830700
1099,25.830695
1100,25.830691
1101,25.830686
1102,25.830681
1103,25.830676
1104,25.830671
1105,25.830667
1106,25.830662
1107,25.830657
1108,25.830653
1109,25.830648
1110,25.830643
1111,25.830638
1112,25.830634
1113,25.830629
1114,25.830624
1115,25.830619
1116,25.830615
1117,25.830610
1118,25.830605
1119,25.830601
1120,25.830596
1121,25.830591
1122,25.830587
1123,25.830582
1124,25.830577
1125,25.830573
1126,25.830568
1127,25.830563
1128,25.830559
1129,25.830554
1130,25.830549
1131,25.830545
1132,25.830540
1133,25.830535
1134,25.830531
1135,25.830526
1136,25.830521
1137,25.830517
1138,25.830512
1139,25.830507
1140,25.830503
1141,25.830498
1142,25.830494
1143,25.830489
1144,25.830484
1145,25.830480
1146,25.830475
1147,25.830470
1148,25.830466
1149,25.830461
1150,25.830457
1151,25.830452
1152,25.830448
1153,25.830443
1154,25.830438
1155,25.830434
1156,25.830429
1157,25.830425
1158,25.830420
1159,25.830416
1160,25.830411
1161,25.830406
1162,25.830402
1163,25.830397
1164,25.830393
1165,25.830388
1166,25.830384
1167,25.830379
1168,25.830375
1169,25.830370
1170,25.830366
1171,25.830361
1172,25.830356
1173,25.830352
1174,25.830347
1175,25.830343
1176,25.830338
1177,25.830334
1178,25.830329
1179,25.830325
1180,25.830320
1181,25.830316
1182,25.830311
1183,25.830307
1184,25.830302
1185,25.830298
1186,25.830293
1187,25.830289
1188,25.830285
1189,25.830280
1190,25.830276
1191,25.830271
1192,25.830267
1193,25.830262
1194,25.830258
1195,25.830253
1196,25.830249
1197,25.830244
1198,25.830240
1199,25.830235
1200,25.830231
1201,25.830227
1202,25.830222
1203,25.830218
1204,25.830213
1205,25.830209
1206,25.830204
1207,25.830200
1208,25.830196
1209,25.830191
1210,25.830187
1211,25.830182
1212,25.830178
1213,25.830173
1214,25.830169
1215,25.830165
1216,25.830160
1217,25.830156
1218,25.830151
1219,25.830147
1220,25.830143
1221,25.830138
1222,25.830134
1223,25.830129
1224,25.830125
1225,25.830121
1226,25.830116
1227,25.830112
1228,25.830108
1229,25.830103
